"";"PlotID";"Landscape_type_2";"Plot_type_3";"Date.start";"Date.end";"Duration";"Insects";"Ausgangsgewicht";"Ausgangsgewicht_trocken";"dung_wet";"dung_dry";"weight_loss";"weight_loss_percent";"elevation";"average_Temp_DL_exp";"average_Humidity_DL_exp";"average_Temp_DL";"av_prec_exp";"av_temp_exp";"Annual_P_LT";"Annual_T2AVG_LT"
"50";"5928_2_A";"b";"c";"13.05.2019";"11.06.2019";29;"no";449,7;108,29;251,13;82,3;25,99;24;254;15,37;77,5;17,05;62,6666666666667;17,1333333333333;647,8666667;9,601944444
"51";"5928_2_F";"b";"a";"13.05.2019";"11.06.2019";29;"yes";450,1;108,38;63,94;57,43;50,95;47,01;370;14,03;NA;15,54;64,6666666666667;16,5666666666667;745,1666667;9,043055556
"52";"5928_2_F";"b";"a";"13.05.2019";"11.06.2019";29;"no";449,7;108,29;296,28;73,94;34,35;31,72;370;14,03;NA;15,54;64,6666666666667;16,5666666666667;745,1666667;9,043055556
"53";"5928_2_U";"b";"d";"13.05.2019";"11.06.2019";29;"yes";450,2;108,41;197,53;72,57;35,84;33,06;286;15,81;72,35;17,33;63;16,8666666666667;688,6666667;9,348888889
"54";"5928_2_U";"b";"d";"13.05.2019";"11.06.2019";29;"no";449,9;108,34;86,04;77,82;30,52;28,17;286;15,81;72,35;17,33;63;16,8666666666667;688,6666667;9,348888889
"55";"5933_4_A";"b";"c";"16.05.2019";"12.06.2019";27;"yes";450,2;108,41;338,32;89,1;19,31;17,81;466;16,5;75,71;16,88;53,3333333333333;16,0333333333333;859,1333333;8,360555556
"56";"5933_4_A";"b";"c";"16.05.2019";"12.06.2019";27;"no";450;108,36;337,79;95,78;12,58;11,61;466;16,5;75,71;16,88;53,3333333333333;16,0333333333333;859,1333333;8,360555556
"57";"5933_4_F";"b";"a";"16.05.2019";"12.06.2019";27;"yes";450,6;108,5;142,22;105,85;2,65;2,45;483;16,97;72,05;19,74;51,6666666666667;16,2;845,3333333;8,476666667
"58";"5933_4_F";"b";"a";"16.05.2019";"12.06.2019";27;"no";450,7;108,53;175,34;101,92;6,61;6,09;483;16,97;72,05;19,74;51,6666666666667;16,2;845,3333333;8,476666667
"59";"5933_4_U";"b";"d";"16.05.2019";"12.06.2019";27;"yes";450,4;108,46;266,66;96,65;11,81;10,89;481;16,66;71,78;17,26;55;15,9333333333333;865,1666667;8,265277778
